nama pengguna,komentar
lindangjunagar1555,Dalam menerapkan pembelajaran ini sangat penting tentang konsep pembelajaran kurikulum merdeka  yang harus di terapkan nya
user-un6mu5hh3o,Kurikulum Merdeka merupakan Kurikulum yang berpusat pada Perseta Didik dimana Peserta Didik juga diberikan tuang untuk mengembangkan kemampuan diri dan kreativitasnya
furyhayuningtyas5063,Pembelajaran berpusat pada peserta didik agar menghasilkan generasi yang mandiri kreatif dan inovatif
darululumpupusblawi7031,"Konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan anak-anak kita. Konsepnya luar biasa  karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa."
shakilrifaya4498,"Sebagai seorang pendidki, saya sangat setuju dengan adanya Kurikulum Merdeka, belajar mengedepankan kebutuhan siswa dan kearifan lokal, dimana pembelajaran berpusat pada siswa. Jadi siswa aktif, kreatif dan menyenangkan dalam menyelesaikan masalah. Semoga ke depannya Kumer menghasilkan generasi berkualitas dalam pembelajaran, menyenangkan, kreatif, inovatif, dan kolaboratif"
rasiti,"Kurikulum merdeka memang sangat penting dalam proses pembelajaran, pembelajaran ini berorienatasi pada peserta didik dengan tujuannya agar menghasilkan generasi yang mandiri, kreatif dan mandiri."
niasopiah4381,"Setelah menyimak video ini, hal yang penting yakni prinsip pembelajarannya berpusat pada peserta didik dan guru merupakan fasilitator, pengalaman belajar yang menyenangkan, mengembangkan kreatifitas dan inovasi, serta pembelajaran yang kontektual."
ekadianti7926,"Dalam kurikulum merdeka, pembelajaran berpusat pada peserta didik tetap harus ada campur tangan dari guru sebagai pemberi arahan"
lukihandayani7104,"Sebagai guru SD  konsep pembelajaran dalam kurikulum merdeka memang sangat penting,seperti yang dijelaskan dalam video bahwa pembelajaran berpusat pada peserta didik tujuannya agar menghasilkan generasi yang mandiri, kreatif dan inovatif.Peserta didik tidak hanya diberikan pengetahuan dan keterampilan tetapi juga diberikan ruang untuk mengembangkan kemampuan dirinya. Konsep ini berfokus pada materi yang esensial dan fleksibel sesuai dengan minat, bakat, dan kebutuhan dari masing-masing karakteristik peserta didik."
ribkawilar8037,Konsep pembelajaran pada kurikulum merdeka adalah pembelajaran yang mengacu pada peserta didik artinya peserta didik sebagai subjek pertama. Beberapa prinsip dalam pembelajaran kurikulum merdeka antara lain 1. Pendidikan berpusat pada peserta didik 2. Pengalaman belajar yang menyenangkan 3. Mengembangkan kreativitas dan inovasi 4. Pembelajaran yang kontekstual
yurdiamanzai,"Konsep pembelajaran dalam kurikulum merdeka adalah pembelajaran berpusat pada peserta didik tujuannya bukan hanya memberikan pengetahuan dan keterampilan tetapi memberi ruang kepada Peserta didik mengembangkan kemampuan dirinya. Ini dilakukan agar menghasilkan generasi yang mandiri, kreatif dan inofatif."
tutisuryani1780,"Konseo kurikulum Merdeka yang diterapkan sekarang ini mengacu pada pendekatan yang berpusat pada peserta didik.Adapun Prinsip prinsip yang diterapkan pada kurikulum merdeka yaitu 
1.Berpusat pada peserta didik 
2.Pengalaman belajar yang menyenangkan 
3.Mengembangkan kreatifitas dan inovasi
4.pembekajaran kontekstual
5.pembelajaran insklusif"
khairunnasihin6817,"Saya berpendapat bahwa konsep dalam pembelajaran kurikulum merdeka memang sangat penting, seperti yang saya lihat di video bahwa pusat pembelajaran lebih diutamakan kepada peserta didik. Konsep ini berfokus kepada materi esensial dan fleksibel sesuai dengan bakat, minat dan kebutuhan masing-masing peserta didik."
arekjemberasli,"Menuru saya, kurikulum merdeka ini sangat fleksibel dan kontekstual dengan kondisi peserta didik dan lingkungannya, sehingga pembelajaran menjadi sangat menyenangkan."
yunitasari9979,"Saya sangat menyambut akan hadirnya kurikulum merdeka, karena ini akan menjadi gerbang utama untuk mereka mengembangkan diri, siswa bukan menjadi objek lagi, tapi mereka adalah subjek."
dawin8,"Konsep kurikulum merdeka ini adalah konsep yang relefan diterapkan saat ini di Indonesia karena akan berdampak positif pada kemajuan pengetahuan, keterampilan peserta didik. Konsepnya luar biasa  karena pembelajarannya dari berpusat pada guru menjadi berpusat pada peserta didik yang memberikan ruang kreatifitas lebih tergali lagi."
education-com,"Konsep Merdeka Belajar merupakan kebijakan terbaru dalam dunia Pendidikan nasional. Konsep ini berfokus pada materi yang esensial dan fleksibel sesuai dengan minat, bakat, dan kebutuhan dari masing-masing karakteristik siswa."
rositaagnes9248,"Konsep pembelajaran kurikulum merdeka :
1. Berpusat pada peserta didik
2. Pengalaman belajar yang menyenangkan
3. Mengembangkan kreativiitas dan inovasi
4. Pembelajaran yang kontekstual
5. Pembelajran yang inklusif
Kelima hal ini, bertujuan untuk mengahasilkan individu yang mandiri kreatif dan inovativ, swhingga mampu penghadapi tantangan abad 21"
khoirulfahronihidayatsdnke7730,"Saya sebagai guru SD, kurikulum merdeka ini sangat bagus karena memiliki tujuan untuk perbaiki sistem pendidikan diindonesia dan guru sebagai fasilitator, mendidik, membimbing aktif dan kreatif menyenangkan untuk menghadapi perkembangan zaman.konsep Pembelajaran pada kurikulum merdeka berpusat pada peserta didik sehingga siswa merupakan subyek didalam kegiatan pembelajaran."
dianghasani2007,"Pembelajaran yang diterapkan dalam kurikulum merdeka adalah pembelajaran yang berpusat kepada peserta didik, model-model pembwlajaran yang digunakan biasanya pembelajaran yang berbasis masalah dan pembelajaran projek, karena kedua model ini memotivasi peserta didik agar mengeksplorasi kemampuan berpikirnnya, untuk menghasilkan solusi atau penyelesaian dalam suatu masalah."
sukmawatisukmawati9685,"Setelah menyimak, maka dapat disimpulkan bahwa dalam kurikulum merdeka maka pembelajaran lebih berpusat pada siswa dan lebih menekankan kreativitas siswa yang membuat pembelajaran lebih bermakna"
masrita5560,Sebagai guru setelah menyimak video saya dapat menyimpulkan didalam mbelajaran Kurikulum merdeka sangat bermanfaat bagi anak didik membuat mereka kreatif dan inovatif
anisaratri1517,"Sebagai seorang guru SD, menurut saya konsep kumer adalah konsep yang paling cocok diterapkan di sekolah karena berdampak positif pada diri siswa"
nurleni9033,"Bagi seorang guru, konsep pembelajaran dalam kurikulum merdeka memang sangat penting,seperti yang dijelaskan dalam video bahwa pembelajaran berpusat pada peserta didik tujuannya agar menghasilkan generasi yang mandiri, kreatif dan inovatif.Peserta didik tidak hanya diberikan pengetahuan dan keterampilan tetapi juga diberikan ruang untuk mengembangkan kemampuan dirinya."
herlenasalim8330,"Menurut saya kurikulum merdeka layak digunakan dalam pembelajaran di masa sekarang, karena pendidikan lebih berpusat pd siswa. Sehingga menjadikan siswa lebih mandiri, aktif, kreatif dan inovatif. Peran guru sebagai fasiitator juga motivator bagi para siswanya"
gurutangkas5215,Pembelajaran dalam kumer sangat baik diterapkan dalam kehidupan kita. Khususnya lingkup guru yg merancang pembelajaran. Guru harus menilai siswa dari kelebihannya.
fastaaa333,"Dalam kurikulum merdeka, konsep pembelajaran sangat penting dan mengacu pada pendekatan berbasis peserta didik. Peserta didik adalah subjek utama sedangkan guru sebagai fasilitator. Konsep pembelajaran ini diharapkan mampu menyiapkan peserta didik menjadi pribadi yang kreatif dan inovatif."
sultanssos7740,"Sebagai pendidik, sangat setuju dengan konsep pembelajaran pada kurikulum merdeka karena berpusat pada peserta didik, sehingga kreatifitas peserta didik dapat berkembang, selain itu  pembelajaran kreatif dan inovatif dalam kurikulum merdeka dapat meningkatkan kualitas pembelajaran peserta didik."
sisiliatrisnawati8992,"Kesimpulan yg saya dapatkan dari video tersebut, siswa merupakan subjek dalam pembelajaran"
lastribintarum2873,"Pembelajaran  dalam Kurikulum Merdeka Belajar  diharapkan menghasilkan generasi  yang brkualitas dan mampu mengahdapi tantangan di masa depan  dengan lima konsep yang diterapkanyaitu berpusat pada peserta didik, pengalaman belajar yang menyenangkan, mengembangkan kreatifitas, pembelajaran kontekstual dan pembelajaran inklusif."
evitayenni7332,"Intinya sebagai pendidik di era digital, pastinya harus siap menghadapi tantangan perkembangan teknologi khususnya dlm bidang pendidikan dg implementasi Kurmer dmn proses PBM berpusat pada peserta didik yg latar belakang kecerdasan, gaya belajar dan lingkungan yg berbeda sehingga pendidik hrs bisa memfasilitasinya. Dg harapan terwujudnya pembelajaran yang aktif, creatif, menyenangkan dan membentuk karakter pelajar Pancasila. Siap berubah, siap IKM!"
m.khoirunnasir522,"Prinsip dalam pembelajaran dalam kurikulum merdeka:
1. Berpusat pada peserta didik
2. Menyenangkan
3. Kreatif dan inovatif
4. Kontekstual
5. Pembelajaran inklusif"
renisyahraeni2944,"Konsep pembelajaran pada kurikulum merdeka berpusat pada pesdik. Pesdik sepenuhnya diberikan ruang untuk mengembangkan potensi dirinya, guru berfungsi sebagai fasilitator"
SitiAminah-yz6gt,"konsep pembelajaran dalam kurikulum merdeka memang sangat penting,seperti yang dijelaskan dalam video bahwa pembelajaran berpusat pada peserta didik tujuannya agar menghasilkan generasi yang mandiri, kreatif dan inovatif.Peserta didik tidak hanya diberikan pengetahuan dan keterampilan tetapi juga diberikan ruang untuk mengembangkan kemampuan dirinya. Konsep ini berfokus pada materi yang esensial dan fleksibel sesuai dengan minat, bakat, dan kebutuhan dari masing-masing karakteristik siswa."
rommalik26,"Sebagai seorang guru SD, menurut saya konsep kumer adalah konsep yang paling cocok diterapkan di sekolah karena berdampak positif pada diri siswa"
vitalia3066,"Bagi seorang guru, konsep pembelajaran dalam kurikulum merdeka sangat penting dan cocok diterapkan pada setiap sekolah.   Melalui konsep ini, membantu guru dalam menyusun pembelajaran yang efisien dan fleksibel sehingga siswa semakin semgat dalam mengikuti pembelajaran. Karena melalu konsep pembelajaran  ini siswa menjadi pusat pembelajaran yang diberi ruang untuk mengembangkan kreativitas untuk menghasilkan generasi yang mandiri    , kreatif dan inovatif."
faizahnurlaili7890,konsep Pembelajaran kurikulum merdeka adalah berpusat pada peserta didik yang tidak hanya diberikan pengetahuan dan ketrampilan namun juga diberikan ruang untuk mengembangkan kemampuan kreatifitasnya
nuruddinbahruddin9222,"Saya sebagai guru sangat setuju dengan adanya kurikulum merdeka, belajar mengedepankan kebutuhan siswa dan kearifan lokal, dimana pembelajaran berpusat pada siswa.jadi siswa aktif,kreatif dan menyenangkan dalam menyelesaikan masalah. Semoga kedepannya kumer menghasilkan generasi berkualitas dalam pembelajaran , menyenangkan,kreatif,inovatif  dan kolaboratif"
milavanalita6579,konsep pembeajaran dalam kurikulum merdeka mengacu pada pendekatan yang berpusat kepada peserta didik
pujipalupi2295,Kurikulum merdeka berpusat pada peserta didik dapat meningkatkan kualitas pembelajaran peserta didik sehingga tujuan pembelajaran tercapai dengan baik.
susilatikakhitmawati988,"Sebagai seorang guru konsep pembrlajaran dalam kurikulum merdeka sangat penting. Seperti yanh dijelaskan dalam vidio ini,bahwa pembelajaran berpusat pafa peserta didik agar menghasilkan generasi yang mandiri,kreatif,dan inovatif.Peserta didik tidak hanya diberikan pengetahuan dan keterampilan,tetapi juga diberikan ruang untuk mengembangkan kemampuan dirinya. Konsep ini berfokus kepada materi yang esensial dan fleksibel sesuai dengan minat,bakat,dan kemampuan masing-masing siswa"
wasirahkbm9041,"Konsep Pembelajaran Kurikulum Merdeka adalah
1.berpusat pada anak, 
2. Pengalaman belajar yg menyenangkan
3. Mengembangkan kreatifitas dan inivatif
4. Pembelajaran yg kontektusl
5. Pembelajaran yg inklusif"
tina-jk2mn,Beberapa konsep dalam kurikulum merdeka antara lain: 1 pendidikan berpusat pada peserta didik. 2. Pengalaman belajar yang menyenangkan. 3. Mengembangkan kreativitas dan inovasi. 4. Pembelajaran yang konstektual. 5. Pembelajara  yang inklusif.
izamstore4004,Konsep pembelajaran dalam kurikulum merdeka berpusat pada siswa. Diharapkan mampu meningkatkan semua potensi siswa
nurhayatirefiananta,"Sangat setuju pembelajaran kumer. Karena Kurikulum Merdeka merupakan pembelajaran yang menyesuaikan kebutuhan, capaian, dan konteks murid serta kondisi satuan pendidikan, sehingga implementasi bisa bertahap. Tahapan implementasi bisa dipelajari di Tahapan Implementasi."
ermasusantidrkrp.merantiha2152,"Kurikulum Merdeka adalah kurikulum baru yang diusung oleh Kemendikudristek 
Indonesia bertujuan memperbaiki sistem pendidikan di Indonesia dengan mengedepankan nilai-nilai ke Indonesiaan dan kearifan lokal.

Beberapa prinsip dalam kurikulum merdeka antara lain :
1. Pendidikan berpusat pada peserta didik 
2. Pengalaman belajar yang menyenangkan
3. Mengembangkan kreativitas dan inovasi
5. Pembelajaran yang kontektual 
6. Pembelajar inklusif"
ndutciprut3040,"Seorang guru harus memahami konsep pembelajaran.
Konsep pembelajaran bdalam kurmer ini adalah berpusat pada peserta didik, pengalaman belajar yang menyenangkan, mengembangkan kreativitas dan inovatif, pembelajaran kontekstual, dan pembelajaran inklusif."
AnisaKrisdina-lu6vw,"Saya seorang guru sekolah profesional dan saya berdiri di belakang konsep kurmer, karena belajar bukan hanya pengetahuan dan kemampuan, tetapi pengembangan diri dan kreativitas. Peserta didik tidak hanya mendapatkan pengetahuan dan keterampilan, tetapi juga ruang untuk mengembangkan keterampilan mereka. Konsep ini menitikberatkan pada materi yang relevan dan fleksibel sesuai dengan minat, kemampuan dan kebutuhan masing-masing siswa."
ardiansyah-tp5bv,Menurut saya konsep yang ada di kurikulum merdeka ini pembelajaran tidak Lg berpusat kepada guru ttpi pusatnya ada di siswa .
mekchanel7503,Konsep merdeka belajar merupakan kebijakan baru dalam dunia pendidikan .
riskaulhusna3025,Sangat bermanfaat 👍👍👍👍👍☀️☀️☀️☀️☀️☀️
sdnwates4kotamojokerto250,Pendidikan harus berpusat pada anak
emaanista6883,"Di dalam kurikulum merdeka, pendidikan berpusat pada peserta didik sedangkan guru sebagai fasilitator, memberikan pengalaman belajar yg menyenangkan, mengembangkan kreativitas dan inovasi, serta memberikan pembelajaran yg kontekstual"
arumrizky,"Penerapan kurikulum merdeka sangat tepat di era sekarang yg berpusat pada siswa. Tujuannya agar menghasilkan generasi yg mandiri, kreatif, dan inovatif dalam menyelesaikan masalah. Tidak hanya diberikan pengetahuan dan keterampilan, tetapi diberikan ruang untuk mengembangkan diri siswa."
sofiamadonna65,"Kurikulum Merdeka sangat cocok dilakukan untuk pembelajaraj di era digital saat ini, dimaja siswa dituntut untuk lebih kreatif dan inovatif dalam melaksanakan secara manditi pembelajaran disekolah yang dapat berguna untuk perkembangannya dikehidupan masa depan"
muntixsham8694,Terima kasih
solhatykadir2811,"Sebagai guru saya berpendapat bahwa konsep pembelajaran dalam Kurikulum Merdeka memang sangat penting, seperti yang dijelaskan dalam video bahwa pembelajaran berpusat pada peserta didik tujuannya agar menghasilkan generasi yang mandiri, kreatif, dan inovatif dalam menyelesaikan masalah. Peserta didik tidak hanya diberikan pengetahuan dan keterampilan tetapi juga diberikan ruang untuk mengembangkan kemampuan dirinya. Konsep ini berfokus pada materi yang esensial dan fleksibel sesuai dengan minat, bakat, dan kebutuhan dari masing-masing karakteristik siswa."
cikal7714,"Sebagai Guru Kelas di SD, inti dalam kurikulum Merdeka bertujuan untuk menghasilkan generasi yang lebih mandiri, kreatif, dan inovatif. Dengan Kurikulum Merdeka ini diharapkan siswa dapat mengembangkan bakat dan menggali potensi yang ada di dalam diri mereka untuk bisa bersaing di jaman abad 21 ini."
sitinurjannah6503,Konsep pembelajaran kurikulum merdeka adalah untul menciptakan pelajar yg mandiri
EfridawatiEfridawati-rw7hb,"Bagi seorang guru, konsep pembelajaran dalam kurikulum merdeka memang sangat penting,seperti yang dijelaskan dalam video bahwa pembelajaran berpusat pada peserta didik tujuannya agar menghasilkan generasi yang mandiri, kreatif dan inovatif.Peserta didik tidak hanya diberikan pengetahuan dan keterampilan tetapi juga diberikan ruang untuk mengembangkan kemampuan dirinya. Konsep ini berfokus pada materi yang esensial dan fleksibel sesuai dengan minat, bakat, dan kebutuhan dari masing-masing karakteristik siswa."
yuliaaulia5617,Konsep padaa kurikulum merdeka ini berpusat pada murid bertujuan untuk menjadikan peserta didik mengembangkan peserta didik supaya lebih kreatif dan inovatif dalam menyelesaikan masalah sehingga dpat mengembangkan berfikir kritis peserta didik sedngkan guru menjdi fasilitator bagi muridnya
febekurniawan7247,"Kurikulum merdeka pendidikan berpusat pada peserta didik,pengalaman bljar yang menyenangkan, mengembangkan pembelajaran kreativitas dan inovatif, pembelajaran kontekstual,pembelajaran inklusif untuk menghasilkan generasi yang mandiri,kreatif dan inovatif"
mamatrohimat3442,Dengan ada nya diklat kurikulum merdrka. Alhamdulillah saya jdi menambah ilmu untuk bekal mengajar supya cepet di terima siswa
user-st3gu3my6m,sangat bagus untuk menggali potensi terbesar para guru-guru sekolah dan murid serta meningkatkan kualitas pembelajaran secara mandiri.
juniamroselina5391,Konsep pembelajaran dalam kurmer berpusat pada peserta didik.ada ruang untuk mengembangkan kreativitas diri yang dimilikinya.
ririnag628,"Sebagai seorang guru di sekolah menengah, konsep kurikulum merdeka ini sangat bagus sekali untuk melatih siswa berfikir dan aktif dalam pembelajaran krn dalam implememtasinya pembelajaran terpusat pada peserta didik"
yulinsetianingsih7381,Pada kurikulum merdeka butuh siswa yang kreatif dalam pembelajaran
yeniwidayati6776,"Bagi seorang guru, konsep pembelajaran dalam kurikulum merdeka memang sangat penting,seperti yang dijelaskan dalam video bahwa pembelajaran berpusat pada peserta didik tujuannya agar menghasilkan generasi yang mandiri, kreatif dan inovatif.Peserta didik tidak hanya diberikan pengetahuan dan keterampilan tetapi juga diberikan ruang untuk mengembangkan kemampuan dirinya. Konsep ini berfokus pada materi yang esensial dan fleksibel sesuai dengan minat, bakat, dan kebutuhan dari masing-masing karakteristik siswa."
ratihyulvitasari2106,"Konsep pembelajaran kurikulum merdeka ini sangat cocok kita terapkan di sekolah, karena sistem pembelajarannya berpusat pada siswa, dan juga dapat meningkatkan pengetahuan dan keterampilan siswa"
riafawait,"Prinsip dalam konsep pembelajaran kurikulum merdeka antara lain:
1). Pendidikan berpusat pada peserta didik.
Guru menjadi fasilitator bagi peserta didik untuk mengembangkan diri.
2). Pengalaman belajar yang menyenangkan.
Pembelajaran tidak hanya di dalam kelas, tetapi bisa di luar kelas dengan kegiatan yang menarik dan bermanfaat.
3). Mengembangkan kreativitas dan inovasi.
Pembelajaran dilakukan secara interaktif sehingga peserta didik dapat mengembangkan kemampuan berpikir kritis dan bekerjasama.
4). Pembelajaran kontekstual.
Peserta didik belajar nilai-nilai lokal dan mengaplikasikannya dalam kehidupan sehari hari.
5). Pembelaran inklusif.
Pembelajaran dilakukan dengan menyenangkan dan menyediakan kesempatan yang sama untuk mengembangkan potensi diri (baik bagi peserta didik yang memiliki kompetensi akademik tinggi maupun tidak).
Dengan menerapkan prinsip tersebut, diharaokan kurikulum merdeka dapat menghasilkan generasi yang berkualitas dan mampu menghadapi tantangan masa depan."
rifianurpratiwi2220,"sebagai seorang guru, di smp, menurut saya konsep kurikulum merdeka ini adl konsep yg bagus karena berdampak positif bagi kemajuaN keterampilan dan pengetahuan anak2."
BibitWinanto-zp2uq,"Guru merupakan kolaborasi antara orang tua dengan anak, sehingga guru menjadi wadah untuk fasilitator, kurikulum merdeka merupakan konsep dari kehidupan sehari-hari. Sehingga, menjadi hal positif dalam pembelajaran yang cocok untuk siswa"
mustahsinoke628,"Konsep pembelajaran kurikulum merdeka memberikan arah peembelajaran berpusat pada peserta didik, menyenangkan, menbembangkan kreatif dan inovatif, kontekstual, serta inklusif. Agar dapat mengantarkan generasi muda siap menempuh masa depan mereka. Terimakasih"
arifwahidinok.6681,"Konsep kurikulum Merdeka belajar sangatlah tepat untuk  diimplementasikan karena memiliki tujuan untuk memberikan keleluasaan kepada peserta didik (student's centered)  untuk mengembangkan potensi dan minat mereka dengan tetap menggali dan mengapresiasi nilai nilai kearifan lokal melalui pembelajaran berbasis projek, latihan kerja, dll"
rf9541,"Saya setuju konsep kurikulum merdeka sangat sesuai dengan kondisi sekarang. Pembelajaran berpusat pada anak. Melatih berfikir kritis, problem solving, dan komunikasi serta kolaborasi yang dibutuhkan di abad 21 ini"
dessyarianti4676,"Nama saya Dessy Arianti,S.Pd. Seorang guru di SMAN 1 Gumay Talang.Kab.Lahat 
Pendidikan itu yang pertama berpusat kepada peserta didik dimana guru harus dapat menerapkan pembelajaran yg kreatif, inovatif dan menyenangkan.agar siswa tertarik dengan pelajaran yang guru berikan.Disetiap pertemuan guru harus memberikan pembelajaran yang berpariasi agar siswa tidak jenuh dengan materi pelajaran yang di sampikan oleh guru."
tentremyuniati3884,Alhamdulillah bisa mengikuti diklat ini
SriHaryanti-cm9pn,"Prinsip dalam kurikulum merdeka antara lain: berpusat pada peserta didik, pengalaman belajar yang menyenangkan, mengembangkan kreativitas dan inovasi, pembelajaran yang kontekstual, pembelajaran yang inklusif."
zulfatullaila160,Kurikulum merdeka merupakan perubahan untuk lebih meningkatkan pendidikan di Indonesia yg berpusat pada siswa
poesphaisabela6324,Peserta didik merupakan subyek kegiatan pembelajaran. Sehingga kegiatan berpusat pada peserta didik. Tugas guru adalah sebagai fasilitator kegiatan pembelajaran agar pembelajaran menjadi lebih menarik dan efisien
kawitamulyasari6788,"Konsep Pembelajaran Kurikulum Merdeka
1. Pendidikan  berpusat pada peserta didik.
2. Pengalaman belajar yang menyenangkan.
3. Mengembangkan kreativitas Dan inovasi.
4. Pembelajaran Contextual
5. Pembelajaran Inklusif"
delfianingsih2966,Kurikulum merdeka sangat bagus diterapkan karena konsep pembelajaran dalam kurikulum merdeka berpusat pada peserta didik agar peserta didik mampu mengembangkan kreativitasnya sehingga menghasilkan generasi yang mandiri kreatif dan inovatif.
desiwiyati295,Kurikulum merdeka merupakan kurikulum yang sangat di butuhkan peserta didik pada zamannya
khusnulhuzaimah8805,Semoga dg adanya kurikulum baru(kurmer) tujuan pendidikan semakin berhasil dg baik
NurLiya-sd8nz,Konsep kurikulum merdeka cocok diterapkan pada sistem pendidikan di Indonesia karena kurikulum ini berpusat pada peserta didik serta mampu menunjang pengembangan bakat dan minat peserta didik
taufikyunata7332,Setelah menyimak video ini saya simpulkan bahwa konsep pembelajaran dalam kurikulum merdeka ada beberapa prinsip yang harus diketahui dan dipahami diantaranya 1. pendidikan berpusat pada peserta didik 2. pengalaman belajar yang menyenangkan 3. mengembangkan kreativitas dan inovasi 4. pembelajaran yang kontekstual 5.pembelajaran yang inklusif
joniasersonabang2731,"Kurikulum merdeka merupakan merupakan konsep yang paling cocok untuk era abad 21. Konsep sangat efektif karena pembelajaran berpusat pada siswa. Tujuanya agar dapat menghasilkan generasi yang mandiri, kreatif & inovatif. Malahan, guru hanya hadir sebagai fasilitator.
Konsep ini memberikan ruang yang nyaman untuk siswa dapat belajar."
azzamcuy4824,"Konsep kurikulum merdeka meliputi 5 hal yaitu:
¹. Berousat pada peserta didik
2. Pengalaman bljr yg menyenangkan
3. Mengembangkan kreativitas n inovativ
4. Kontekstual
5. Pembelajaran yg inklusiv"
rodiahrodiah239,"Kurikulum merdeka memang sangat penting seperti yang di jelaskan dalam video bahwa pembelajaran berorientasi pada peserta didik tujuan nya agar menghasilkan generasi yang mandiri, kreatif dan inovatif.peserta didik tidak hanya di berikan pengetahuan dan keterampilan tetapi juga diberikan ruang untuk mengembangkan kemampuan dirinya.konsep ini berfokus pada materi yang esensial dan fleksibel sesuai minta,bakat dan kebutuhan dari masing-masing karakteristik siswa"
RahmatHidayat-wl3zc,Dengan menggunakan konsep pembelajaran kurikulum merdeka belajar akan membuat pembelajaran menjadi lebih baik dalam dunia pendidikan
annisarachmawati4010,Konsep kurikulum merdeka cocok diterapkan pada sistem pendidikan di Indonesia karena kurikulum ini berpusat pada peserta didik serta mampu menunjang pengembangan bakat dan minat peserta didik
asisiburian1296,"Konsep pembelajaran dalam kurikulum merdeka mengacu pada pendekatan yang berpusat pada peserta didik, artinya peserta didik dijadikan sebagai subjek utama dalam proses pembelajaran. Konsep pembelajaran kurikulum merdeka betujuan untuk menghasilkan generasi yang lebih mandiri, kreatif, dan inovatif. Beberapa prinsip dalam kurikulum merdeka antara lain:
1. Pendidikan berpusat pada peserta didik
2. Pengalaman belajar yang menyenangkan
3. Mengembangkan kreativitas dan inovasi
4. Pembelajaran contextual
5. Pembelajaran inklusif"
dwiastuti2961,"saya sebagai guru SD sangat tertarik dengan Kurikulum Merdeka ini, karena konsep2 yang berada dalam kurikulim merdeka ini pembelajaran berpusat kepada peserta didik agar menjadi lebih baik,"
yuniastuti4884,"Kurikulum Merdeka lahir dengan prinsip yang memerdekakan, memberdayakan, dan menguatka. Sebagai seorang guru, saya senang dengan adanya kurikulum merdeka karena guru diberikan ruang untuk merencanakan pembelajaran berdasarkan dari kebutuhan nyata peserta didik. Selain itu, pembelajaran yang berpusat pada peserta didik mampu mengembangkan kemampuan siswa secara lebih optimal."
eniermawati9720,Konsep kurikulum merdeka ini adalah konsep yang paling cocok diterapkan di Indonesia  Konsepnya luar biasa  karena pembelajarannya dari berpusat pada guru menjadi berpusat pada siswa.
ferradayanti,"Kurikulum merdeka belajar bertujuan untuk memperbaiki sistem pendidikan di Indonesia. Kurikulum merdeka bertujuan menghasilkan siswa yang mandiri, kreatif dan inovatif. Guru dijadikan fasilitator dalam proses pembelajaran."
fitriyan9029,"Konsep pembelajaran kurikulum merdeka: pendidikan berpusat pada peserta didik, pengalaman belajar yang menyenangkan, mengembanhkan kreativitas dan inovasi, pembelajaran kontextual, pembelajaran inklusif."
halimatussadiyah5394,"Saya sebagai guru sangat setuju dengan adanya Kumerdeka, belajar mengedepankan kebutuhan siswa dan kearifan lokal, dimana pembelajaran berpusat pada siswa. Jadi siswa aktif, kreatif dan menyenangkan dalam menyelesaikan masalah. Semoga ke depannya Kumer menghasilkan generasi berkualitas dalam pembelajaran, menyenangkan, kreatif, inovatif, dan kolaboratif."
aniksudarwati9351,"Dalam Kurikulum Merdeka belajar bukan hanya pengetahuan dan kemampuan, tetapi pengembangan diri dan kreativitas. Peserta didik tidak hanya mendapatkan pengetahuan dan keterampilan, tetapi juga ruang untuk mengembangkan keterampilan mereka. Konsep ini menitikberatkan pada materi yang relevan dan fleksibel sesuai dengan minat, kemampuan dan kebutuhan masing-masing siswa.dengan mengedepankan nilai kearifan lokal ."
azkamuwaffaq-fb2lf,Kurikulum merdeka adalah menjadikan peserta didik sebagai subjek pembelajaran. Guru dijadikan fasilitator sebagai motivator dalam pembelajaran. Pembelajaran dilakukan dengan inovatif.
dewaayuanomsuarningsih794,Sebagai seoranh guru konsep pembelajaran berfungsi untuk menjadikan guru kretif dan inobatif karena dlm kurikulum merdeka guru hanya sebagai fasilitator yang menuntut siswa lebih aktif dalam pembelajaran
sucicute7156,"Konsep  Merdeka Belajar adalah memberikan kemerdekaan kepada setiap satuan pendidikan untuk melakukan inovasi. Pada hakekatnya, Merdeka Belajar hadir untuk menggali potensi yang ada pada guru, sekolah dan peserta didik untuk berinovasi dalam meningkatkan kualitas secara mandiri."
rusmiatiros6029,"Yang dapat saya simpulkan dari Video ini adalah  Tentang Prinsip yang kita tahu pada Kurikukum merdeka. Prinsip tersebut yaitu : 
1. Pendidikan Berpusat Pada Siswa
2. Adanya pengalaman belajar yang menyenangkan
3. Mengembangkan kreativitas dan inovasi
4.Kontekstual
5. Inklusif"
kikirizkifauziah8516,"Konsep pembelajaran dalam kurikulum merdeka berpusat pada peserta didik dengan tujuan untuk menghasilkan generasi yang lebih mandiri, kreatif dan inovatif"
idharchamzah3764,"Kurikulum merdeka dipusatkan pada peserta didik dmn peserta didik berperan aktif dan guru sebagai fasilisator, peserta didik maupun guru dituntut untuk lebih kreatif untuk menciptakan suasana belajar yg asik"
kristinaeka9481,"Sebagai seorang guru SD kurmer bertujuan untuk memberikan pengetahuan, ketrampilan kepada siswa yang terpusat kepada peserta didik. Guru hanya sebagai fasilitator dalam pembelajaran."
